director_name,actor_name,"gross,",eval
Lana Wachowski,Channing Tatum,47375327.0,5
David Yates,Christoph Waltz,124051759.0,7
Andrew Adamson,Jim Broadbent,291709845.0,8
Bryan Singer,Jennifer Lawrence,154985087.0,7
Christopher Nolan,Christian Bale,533316061.0,9
Pete Docter,John Ratzenberger,292979556.0,8
Rob Letterman,Amy Poehler,198332128.0,7
Jon Favreau,Robert Downey Jr.,318298180.0,8
Martin Scorsese,Chloë Grace Moretz,73820094.0,6
Barry Sonnenfeld,Will Smith,113745408.0,7
Rob Cohen,Jet Li,102176165.0,7
David Ayer,Will Smith,161087183.0,7
Tom Shadyac,Jimmy Bennett,100289690.0,7
Doug Liman,Tom Cruise,100189501.0,7
Kevin Reynolds,Jeanne Tripplehorn,88246220.0,6
Stephen Sommers,Joseph Gordon-Levitt,150167630.0,7
Pete Docter,Amy Poehler,356454367.0,8
Jon Favreau,Scarlett Johansson,362645141.0,8
Jon Favreau,Robert Downey Jr.,312057433.0,8
Rupert Sanders,Chris Hemsworth,155111815.0,7
Robert Stromberg,Angelina Jolie Pitt,241407328.0,8
Matt Reeves,Gary Oldman,208543795.0,8
Roland Joffé,Tamsin Egerton,,0
Carl Rinsch,Keanu Reeves,38297305.0,5
Anthony Russo,Scarlett Johansson,259746958.0,8
Mike Mitchell,Jon Hamm,238371987.0,8
Brad Bird,Judy Greer,93417865.0,6
Don Hall,Damon Wayans Jr.,222487711.0,8
Rich Moore,Jack McBrayer,189412677.0,7
Robert Zemeckis,Tom Hanks,665426.0,3
Roland Emmerich,Vivica A. Fox,102315545.0,7
Dean DeBlois,Gerard Butler,217387997.0,8
Jonathan Mostow,Nick Stahl,150350192.0,7
James Gunn,Bradley Cooper,333130696.0,8
Christopher Nolan,Matthew McConaughey,187991439.0,7
Christopher Nolan,Leonardo DiCaprio,292568851.0,8
Hideaki Anno,Mark Chinnery,,0
Peter Jackson,Aidan Turner,303001229.0,8
Rob Cohen,Paul Walker,144512310.0,7
David Fincher,Brad Pitt,127490802.0,7
Matthew Vaughn,Jennifer Lawrence,146405371.0,7
Francis Lawrence,Jennifer Lawrence,281666058.0,8
Jon Turteltaub,Nicolas Cage,63143812.0,6
Wolfgang Petersen,Jimmy Bennett,60655503.0,6
James Bobin,Johnny Depp,76846624.0,6
Chris Miller,Justin Timberlake,320706665.0,8
Duncan Jones,Dominic Cooper,46978995.0,5
Alan Taylor,J.K. Simmons,89732035.0,6
Michael Apted,Bruce Spence,104383624.0,7
Michael Bay,Jennifer Garner,198539855.0,7
Michael Bay,Zack Ward,318759914.0,8
Oliver Stone,Anthony Hopkins,34293771.0,5
David Yates,Robert Pattinson,292000866.0,8
Mike Newell,Robert Pattinson,289994397.0,8
Peter Berg,Will Smith,227946274.0,8
Francis Lawrence,Will Smith,256386216.0,8
Tim Burton,Johnny Depp,206456431.0,8
Brad Bird,Janeane Garofalo,206435493.0,8
Christopher Nolan,Christian Bale,205343774.0,8
Eric Darnell,Bernie Mac,179982968.0,7
Shawn Levy,Robin Williams,177243721.0,7
Gavin Hood,Hugh Jackman,179883016.0,7
Lana Wachowski,Essie Davis,139259759.0,7
Chris Buck,Josh Gad,400736600.0,9
Lana Wachowski,Steve Bastoni,281492479.0,8
Alan Taylor,Chris Hemsworth,206360018.0,8
George Miller,Tom Hardy,153629485.0,7
Ron Howard,Tom Hanks,133375846.0,7
Kenneth Branagh,Chris Hemsworth,181015141.0,7
Byron Howard,Chloë Grace Moretz,114053579.0,7
Hoyt Yeatman,Kelli Garner,119420252.0,7
Jonathan Liebesman,Liam Neeson,83640426.0,6
Tim Burton,Johnny Depp,79711678.0,6
Christopher McQuarrie,Tom Cruise,195000874.0,7
Joe Johnston,Anthony Hopkins,61937495.0,6
David Yates,Christoph Waltz,124051759.0,7
Steve Hickner,Matthew Broderick,126597121.0,7
Jennifer Yuh Nelson,Angelina Jolie Pitt,165230261.0,7
M. Night Shyamalan,Seychelle Gabriel,131564731.0,7
J.J. Abrams,Philip Seymour Hoffman,133382309.0,7
Roland Emmerich,Channing Tatum,73103784.0,6
Simon Wells,Elisabeth Harnois,21379315.0,5
David Bowers,Hugh Jackman,64459316.0,6
Joe Wright,Hugh Jackman,34964818.0,5
Rob Minkoff,Ty Burrell,111505642.0,7
Wolfgang Petersen,Brad Pitt,133228348.0,7
Eric Darnell,Jada Pinkett Smith,216366733.0,8
Lee Tamahori,Toby Stephens,160201106.0,7
Paul Feig,Ed Begley Jr.,118099659.0,7
Michael Bay,Bruce Willis,201573391.0,8
Barry Sonnenfeld,Will Smith,190418803.0,7
Robert Zemeckis,Robin Wright,82161969.0,6
Alessandro Carloni,J.K. Simmons,143523463.0,7
Brad Bird,Tom Cruise,209364921.0,8
Peter Ramsey,Hugh Jackman,103400692.0,7
Dean Parisot,John Michael Higgins,110332737.0,7
Edward Zwick,Tom Cruise,111110575.0,7
Ridley Scott,Christian Bale,65007045.0,6
J.J. Abrams,Chris Hemsworth,257704099.0,8
Sam Raimi,J.K. Simmons,403706375.0,9
Dean DeBlois,Gerard Butler,176997107.0,7
Alex Proyas,Gerard Butler,31141074.0,5
Rob Cohen,Sam Shepard,31704416.0,5
Zack Snyder,Matt Frewer,107503316.0,7
Richard Donner,Jet Li,129734803.0,7
Ang Lee,Kevin Rankin,132122995.0,7
Jon M. Chu,Channing Tatum,122512052.0,7
Breck Eisner,Matthew McConaughey,68642452.0,6
Hironobu Sakaguchi,Steve Buscemi,32131830.0,5
Joe Johnston,Chris Evans,176636816.0,7
Michael Apted,Colin Salmon,126930660.0,7
Peter Weir,James D'Arcy,93926386.0,6
Bill Condon,Robert Pattinson,292298923.0,8
George Miller,Robin Williams,63992328.0,6
Louis Leterrier,Ty Burrell,134518390.0,7
Steven Spielberg,Mark Rylance,52792307.0,6
Alejandro G. Iñárritu,Leonardo DiCaprio,183635922.0,7
David Soren,Ryan Reynolds,83024900.0,6
Gore Verbinski,Johnny Depp,123207194.0,7
Eric Darnell,Benedict Cumberbatch,83348920.0,6
Paul Greengrass,Matt Damon,227137090.0,8
Mark Osborne,Angelina Jolie Pitt,215395021.0,8
Peyton Reed,Judy Greer,180191634.0,7
Francis Lawrence,Jennifer Lawrence,424645577.0,9
Bill Condon,Robert Pattinson,292298923.0,8
Tim Johnson,Jim Parsons,177343675.0,7
Steven Spielberg,Tom Cruise,234277056.0,8
Michael Bay,Will Smith,138396624.0,7
Chris Miller,Salma Hayek,149234747.0,7
Phillip Noyce,Angelina Jolie Pitt,118311368.0,7
Darren Aronofsky,Anthony Hopkins,101160529.0,7
Steven Spielberg,Toby Jones,77564037.0,6
Alfonso Cuarón,Daniel Radcliffe,249358727.0,8
Baz Luhrmann,Essie Davis,49551662.0,5
M. Night Shyamalan,Will Smith,60522097.0,6
Eric Leighton,Alfre Woodard,137748063.0,7
Matt Birch,Rupert Grint,,0
Shawn Levy,Robin Williams,113733726.0,7
Tom McGrath,J.K. Simmons,148337537.0,7
Chris Columbus,Daniel Radcliffe,317557891.0,8
Robert Schwentke,Ryan Reynolds,33592415.0,5
Hideaki Anno,Mark Chinnery,,0
Gore Verbinski,Johnny Depp,305388685.0,8
Matt Birch,Rupert Grint,,0
Francis Lawrence,Jennifer Lawrence,337103873.0,8
Ron Howard,Tom Hanks,217536138.0,8
Carlos Saldanha,Miguel Ferrer,131536019.0,7
Bryan Singer,Hugh Jackman,214948780.0,8
Justin Lin,Paul Walker,209805005.0,8
Guy Ritchie,Robert Downey Jr.,186830669.0,7
Louis Leterrier,Liam Neeson,163192114.0,7
Paul Verhoeven,Ronny Cox,119412921.0,7
John McTiernan,Tony Curran,32694788.0,5
Tony Gilroy,Jeremy Renner,113165635.0,7
Joel Schumacher,Michael Gough,107285004.0,7
Ron Howard,Clint Howard,260031035.0,8
Roland Emmerich,Jake Gyllenhaal,186739919.0,7
John Woo,Tom Cruise,215397307.0,8
Wolfgang Petersen,Karen Allen,182618434.0,7
Tim Story,Chris Evans,131920333.0,7
Ang Lee,Suraj Sharma,124976634.0,7
Mark Steven Johnson,Nicolas Cage,115802596.0,7
Paul Greengrass,Matt Damon,108521835.0,7
McG,Demi Moore,100685880.0,7
Ridley Scott,Michael Fassbender,126464904.0,7
Rob Minkoff,Nathan Lane,64736114.0,6
Neill Blomkamp,Matt Damon,93050117.0,6
David Twohy,Vin Diesel,57637485.0,6
José Padilha,Gary Oldman,58607007.0,6
Lana Wachowski,Scott Porter,43929341.0,5
James L. Brooks,Shelley Conn,30212620.0,5
James Mangold,Tom Cruise,76418654.0,6
Joseph Kosinski,Morgan Freeman,89021735.0,6
George Lucas,Natalie Portman,380262555.0,8
George Lucas,Natalie Portman,310675583.0,8
Pete Docter,Steve Buscemi,289907418.0,8
James Mangold,Hugh Jackman,132550960.0,7
George Lucas,Natalie Portman,474544677.0,9
Kirk De Micco,Ryan Reynolds,187165546.0,7
Frédéric Forestier,Alain Delon,,0
John Woo,Nicolas Cage,40911830.0,5
Cedric Nicolas-Troyan,Chris Hemsworth,47952020.0,5
Jonathan Liebesman,Noel Fisher,190871240.0,7
Alfonso Cuarón,Phaldut Sharma,274084951.0,8
Roger Donaldson,Jamie Renée Smith,67155742.0,6
Dave Green,Stephen Amell,81638674.0,6
Josh Trank,Tim Blake Nelson,56114221.0,6
Shawn Levy,Robin Williams,250863268.0,8
Brad Peyton,Dwayne Johnson,155181732.0,7
Roger Spottiswoode,Vincent Schiavelli,125332007.0,7
Roland Emmerich,Heath Ledger,113330342.0,7
Steven Soderbergh,Brad Pitt,125531634.0,7
Doug Liman,Brad Pitt,186336103.0,7
Robert Schwentke,Kate Winslet,129995817.0,7
Martin Scorsese,Leonardo DiCaprio,102608827.0,7
Rob Letterman,James Corden,42776259.0,5
Michel Gondry,Christoph Waltz,98780042.0,6
Noam Murro,Eva Green,106369117.0,7
Raja Gosnell,Mahadeo Shivraj,142614158.0,7
Will Finn,Steve Buscemi,50026353.0,6
Robert Schwentke,Naomi Watts,66002193.0,6
Shawn Levy,Hugh Jackman,85463309.0,6
Raja Gosnell,Jacob Tremblay,71017784.0,6
Jan de Bont,Jason Patric,48068396.0,5
Gavin Hood,Harrison Ford,61656849.0,6
Len Wiseman,Bruce Willis,134520804.0,7
Peter Jackson,Christopher Lee,313837577.0,8
Frank Coraci,Jim Broadbent,24004159.0,5
Michael Mann,Will Smith,58183966.0,6
Bo Welch,Sean Hayes,100446895.0,7
Alex Proyas,Will Smith,144795350.0,7
Ridley Scott,Liam Neeson,47396698.0,5
Rob Minkoff,Chazz Palminteri,140015224.0,7
Ron Clements,Oprah Winfrey,104374107.0,7
Ridley Scott,Matt Damon,228430993.0,8
Christopher Barnard,Mathew Buck,,0
Michael Bay,Scarlett Johansson,35799026.0,5
Peter Chelsom,Del Zamora,6712451.0,4
Dominic Sena,Nicolas Cage,101643008.0,7
Ridley Scott,Djimon Hounsou,187670866.0,7
Steven Spielberg,Tom Cruise,132014112.0,7
Chris Columbus,Daniel Radcliffe,261970615.0,8
Martin Campbell,Eva Green,167007184.0,7
Tim Burton,Cary-Hiroyuki Tagawa,180011740.0,7
James Cameron,Joe Morton,204843350.0,8
Michael Mann,Johnny Depp,97030725.0,6
Ridley Scott,Denzel Washington,130127620.0,7
James Cameron,Jamie Lee Curtis,146282411.0,7
Tony Scott,Denzel Washington,65452312.0,6
Paul Weitz,Robert De Niro,148383780.0,7
Adam McKay,Dwayne Johnson,119219978.0,7
Chuck Russell,Vanessa Williams,101228120.0,7
Quentin Tarantino,Leonardo DiCaprio,162804648.0,7
Gary Trousdale,Demi Moore,100117603.0,7
Mark Dindal,Eartha Kitt,89296573.0,6
Simon West,Jason Statham,85017401.0,6
Jon Turteltaub,Nicolas Cage,173005002.0,7
Stefen Fangmeier,Djimon Hounsou,75030163.0,6
Spike Jonze,Catherine O'Hara,77222184.0,6
Joe Wright,Hugh Jackman,34964818.0,5
Chris Wedge,Josh Hutcherson,107515297.0,7
Florian Henckel von Donnersmarck,Johnny Depp,67631157.0,6
Peter Hyams,CCH Pounder,66862068.0,6
Edward Zwick,Leonardo DiCaprio,57366262.0,6
Martin Scorsese,Leonardo DiCaprio,116866727.0,7
Joel Schumacher,Michael Gough,184031112.0,7
Paul Verhoeven,Jake Busey,54700065.0,6
Tom Tykwer,Tom Hanks,27098580.0,5
Zack Snyder,Abbie Cornish,55673333.0,6
Pitof,Frances Conroy,40198710.0,5
Brett Ratner,Dwayne Johnson,72660029.0,6
Ron Clements,Joseph Gordon-Levitt,38120554.0,5
Brad Silberling,Will Ferrell,49392095.0,5
Patrick Hughes,Jason Statham,39292022.0,5
Ericson Core,Ray Winstone,28772222.0,5
Lawrence Guterman,Jamie Kennedy,17010646.0,5
Ron Howard,Chris Hemsworth,24985612.0,5
Ron Underwood,Rosario Dawson,4411102.0,4
Paul Greengrass,Matt Damon,35024475.0,5
Steve Martino,Francesca Capaldi,130174897.0,7
David Mamet,Ben Gazzara,10200000.0,5
Stephen Sommers,Dwayne Johnson,202007640.0,8
Martin Scorsese,Leonardo DiCaprio,77679638.0,6
Yimou Zhang,Christian Bale,9213.0,1
Ash Brannon,Jeff Bridges,58867694.0,6
Frank Oz,Jon Lovitz,59475623.0,6
Ridley Scott,Ioan Gruffudd,108638745.0,7
Jay Roach,Will Ferrell,86897182.0,6
Luc Besson,Milla Jovovich,63540020.0,6
Michael Patrick King,Chris Noth,95328937.0,6
Bibo Bergeron,Frank Welker,50802661.0,6
Steve Martino,Peter Dinklage,161317423.0,7
Kenneth Branagh,Hayley Atwell,201148159.0,8
Peter Jackson,Michael Imperioli,43982842.0,5
Andrew Stanton,Alexander Gould,380838870.0,8
Peter Jackson,Orlando Bloom,377019252.0,8
Peter Jackson,Christopher Lee,340478898.0,8
Sergey Bodrov,Jeff Bridges,17176900.0,5
Simon West,Angelina Jolie Pitt,131144183.0,7
Wally Pfister,Johnny Depp,23014504.0,5
Joe Johnston,Michael Jeter,181166115.0,7
Rupert Wyatt,James Franco,176740650.0,7
Mark Waters,Martin Short,71148699.0,6
John Moore,Bruce Willis,67344392.0,6
John Lee Hancock,Dennis Quaid,22406362.0,5
Brad Bird,Holly Hunter,261437578.0,8
Renny Harlin,Christopher Masterson,11000000.0,5
Chris Columbus,Logan Lerman,88761720.0,6
Barry Sonnenfeld,Will Smith,250147615.0,8
John Lasseter,Tom Hanks,245823397.0,8
Tony Scott,Denzel Washington,81557479.0,6
Brett Ratner,Mei Melançon,226138454.0,8
Robert Zemeckis,Harrison Ford,155370362.0,7
Phil Lord,Will Forte,124870275.0,7
Carlos Saldanha,Denis Leary,196573705.0,7
Ben Stiller,Adam Scott,58229120.0,6
McG,Bill Murray,125305545.0,7
Martin Scorsese,Leonardo DiCaprio,132373442.0,7
Tony Bancroft,Ming-Na Wen,120618403.0,7
Ben Stiller,Robert Downey Jr.,110416702.0,7
David Fincher,Robin Wright,102515793.0,7
John McTiernan,Bruce Willis,100012500.0,7
Guy Ritchie,Robert Downey Jr.,209019489.0,8
Timur Bekmambetov,Morgan Freeman,,0
Gary Trousdale,Leonard Nimoy,84037039.0,6
Walt Becker,Bella Thorne,85884815.0,6
Bryan Singer,Tom Cruise,83077470.0,6
Dennis Dugan,Adam Sandler,100018837.0,7
Chris Columbus,Peter Dinklage,78747585.0,6
Steven Spielberg,Haley Joel Osment,78616689.0,6
Rob Minkoff,Marsha Thomason,75817994.0,6
Robert Zemeckis,Matthew McConaughey,100853835.0,7
Paul Verhoeven,Greg Grunberg,73209340.0,6
Sydney Pollack,Curtiss Cook,72515360.0,6
Thor Freudenthal,Logan Lerman,68558662.0,6
Jan de Bont,Gerard Butler,65653758.0,6
Jon M. Chu,Daniel Radcliffe,64685359.0,6
Phillip Noyce,Alun Armstrong,61355436.0,6
Tony Scott,Brad Pitt,26871.0,1
Brian De Palma,Don Cheadle,60874615.0,6
Carlos Saldanha,Anne Hathaway,143618384.0,7
Chris Columbus,Robin Williams,58220776.0,6
Mick Jackson,Don Cheadle,47474112.0,5
Alan J. Pakula,Harrison Ford,42877165.0,5
Kathryn Bigelow,Liam Neeson,35168677.0,5
Josh Trank,Tim Blake Nelson,56114221.0,6
John Milius,William Smith,37567440.0,5
Ron Howard,Paddy Considine,61644321.0,6
Andrey Konchalovskiy,Shirley Henderson,190562.0,2
Gary Ross,Jeff Bridges,120147445.0,7
Jan de Bont,Philip Seymour Hoffman,241688385.0,8
Rob Cohen,Paul Walker,144512310.0,7
Robert Zemeckis,Tom Hanks,233630478.0,8
George Miller,Robin Williams,197992827.0,7
Paul Greengrass,Matt Damon,176049130.0,7
Wolfgang Petersen,Harrison Ford,172620724.0,7
Steven Soderbergh,Brad Pitt,183405771.0,7
Paul W.S. Anderson,Milla Jovovich,20315324.0,5
Genndy Tartakovsky,Steve Buscemi,148313048.0,7
Kevin Lima,Jeff Bennett,127706877.0,7
Daniel Espinosa,Denzel Washington,126149655.0,7
Kevin Lima,Ioan Gruffudd,66941559.0,6
Brett Ratner,Matthew Broderick,78009155.0,6
Nancy Meyers,Kate Winslet,63224849.0,6
Tony Scott,Will Smith,111544445.0,7
Nancy Meyers,Meryl Streep,112703470.0,7
Steven Soderbergh,Al Pacino,117144465.0,7
Roger Allers,Jon Favreau,84303558.0,6
Neil Burger,Kate Winslet,150832203.0,7
Jean-Jacques Annaud,Bob Hoskins,51396781.0,6
Peter Berg,Dwayne Johnson,47592825.0,5
John McTiernan,F. Murray Abraham,50016394.0,6
Rob Marshall,Li Gong,57010853.0,6
Justin Lin,Amber Stevens West,62494975.0,6
Sarah Smith,Jim Broadbent,46440491.0,5
Martin Brest,Anthony Hopkins,44606335.0,5
Andrew Davis,Raymond Cruz,40048332.0,5
Bob Fosse,Roy Scheider,,0
Tarsem Singh,Julia Roberts,64933670.0,6
Edgar Wright,Anna Kendrick,31494270.0,5
Jon Amiel,Glenn Morshower,31111260.0,5
Peter Segal,Larry Miller,123307945.0,7
Raja Gosnell,Sarah Michelle Gellar,153288182.0,7
Pete Travis,Wood Harris,13401683.0,5
Frank Coraci,Adam Sandler,137340146.0,7
George A. Romero,Ted Danson,,0
Brad Peyton,Jack McBrayer,43575716.0,5
Doug Liman,Kristen Stewart,80170146.0,6
Guillermo del Toro,Seth MacFarlane,75754670.0,6
David Fincher,Robert Downey Jr.,33048353.0,5
Roger Spottiswoode,Robert Duvall,34543701.0,5
Tom Shadyac,Morgan Freeman,242589580.0,8
Sylvester Stallone,Jason Statham,102981571.0,7
Brian De Palma,Tom Cruise,180965237.0,7
Gary Ross,Jennifer Lawrence,407999255.0,9
Todd Phillips,Bradley Cooper,254455986.0,8
Tim Burton,Michael Gough,162831698.0,7
Tim Johnson,Bruce Willis,155019340.0,7
Dean DeBlois,Tia Carrere,145771527.0,7
Gary Winick,Steve Buscemi,82506325.0,6
Mimi Leder,Morgan Freeman,140459099.0,7
Dean Parisot,Bruce Willis,53215979.0,6
Peter Segal,Adam Sandler,158115031.0,7
Mike Mitchell,Amy Poehler,133103929.0,7
Dennis Dugan,Steve Buscemi,133668525.0,7
Peter Segal,Bill Murray,130313314.0,7
Nancy Meyers,Keanu Reeves,124590960.0,7
Martin Scorsese,Leonardo DiCaprio,127968405.0,7
Seth Gordon,Jon Favreau,120136047.0,7
Chris Wedge,Jim Broadbent,128200012.0,7
John Woo,Nicolas Cage,112225777.0,7
Adam Shankman,Adam Sandler,109993847.0,7
Sam Mendes,Tom Hanks,104054514.0,7
Dennis Dugan,Adam Sandler,103028109.0,7
Simon West,Steve Buscemi,101087161.0,7
D.J. Caruso,Rosario Dawson,101111837.0,7
Anthony Minghella,Philip Seymour Hoffman,95632614.0,6
Albert Hughes,Denzel Washington,94822707.0,6
Les Mayfield,Robin Williams,92969824.0,6
Jan de Bont,Liam Neeson,91188905.0,6
Joe Pytka,Bill Murray,90443603.0,6
Shawn Levy,Roger Rees,82226474.0,6
Scott Derrickson,Keanu Reeves,79363785.0,6
Richard Donner,Julia Roberts,76081498.0,6
David Ayer,Brad Pitt,85707116.0,6
Ivan Reitman,Harrison Ford,74329966.0,6
Eric Brevig,Justin Timberlake,100169068.0,7
Kelly Asbury,Matt Damon,73215310.0,6
Frank Coraci,Rosario Dawson,80360866.0,6
Stephen Hopkins,Gary Oldman,69102910.0,6
Jonathan Demme,Denzel Washington,65948711.0,6
Henry Jaglom,Vanessa Redgrave,821997.0,3
Genndy Tartakovsky,Steve Buscemi,169692572.0,7
James Algar,Quincy Jones,60507228.0,6
Simon Wells,Mark Addy,56684819.0,6
Ron Underwood,Charlize Theron,50628009.0,6
Dominic Sena,Hugh Jackman,69772969.0,6
Martin Campbell,Michael Emerson,45356386.0,5
Vincent Ward,Robin Williams,55350897.0,6
Steven Brill,Adam Sandler,39442871.0,5
Terry Gilliam,Matt Damon,37899638.0,5
Tim Burton,Natalie Portman,37754208.0,5
Lucile Hadzihalilovic,Nissim Renard,,0
Lee Tamahori,Anthony Hopkins,27779888.0,5
Jonathan Mostow,Bruce Willis,38542418.0,5
Roger Donaldson,Bruce Greenwood,34566746.0,5
Rob Cohen,Sylvester Stallone,32885565.0,5
Barry Cook,Charlie Rowe,36073232.0,5
Roger Christian,Richard Tyson,21471685.0,5
Joe Dante,Brendan Fraser,20950820.0,5
Rob Marshall,Fergie,19673424.0,5
Richard Donner,Paul Walker,19480739.0,5
Kevin Costner,Olivia Williams,17593391.0,5
George Miller,Adam Goldberg,18318000.0,5
Breck Eisner,Vin Diesel,27356090.0,5
Antony Hoffman,Bob Neill,17473245.0,5
Luc Besson,Mia Farrow,15131330.0,5
Jacques Perrin,Pedro Armendáriz Jr.,19406406.0,5
Peter Hyams,David Oyelowo,1891821.0,4
Paul W.S. Anderson,Sasha Roiz,23219748.0,5
Andrés Couturier,Sariann Monaco,,0
Ron Howard,Adam Goldberg,170708996.0,7
Roger Allers,Matthew Broderick,422783777.0,9
Brad Peyton,Josh Hutcherson,103812241.0,7
Cody Cameron,Will Forte,119793567.0,7
Brett Ratner,Philip Seymour Hoffman,92930005.0,6
Joe Johnston,J.K. Simmons,67286731.0,6
Dennis Dugan,Al Pacino,74158157.0,6
John Singleton,Paul Walker,127083765.0,7
Mark Osborne,Jeff Bridges,1339152.0,4
Oliver Hirschbiegel,Roger Rees,15071514.0,5
Des McAnuff,Robert De Niro,26000610.0,5
Yarrow Cheney,Steve Coogan,323505540.0,8
Stephen Norrington,Jason Flemyng,66462600.0,6
Pierre Coffin,Steve Carell,368049635.0,8
Roland Emmerich,Will Smith,306124059.0,8
Steven Spielberg,Ariana Richards,229074524.0,8
Eric Darnell,Jada Pinkett Smith,193136719.0,7
Alfonso Cuarón,Charlie Hunnam,35286428.0,5
Bryan Singer,Hugh Jackman,157299717.0,7
Timur Bekmambetov,Angelina Jolie Pitt,134568845.0,7
Michael Bay,Nicolas Cage,134006721.0,7
Carlos Saldanha,Denis Leary,195329763.0,7
Peter Segal,Adam Sandler,120776832.0,7
Adam Shankman,Jerry Stiller,118823091.0,7
Renny Harlin,James D'Arcy,41814863.0,5
David Kellogg,Matthew Broderick,97360069.0,6
Louis Leterrier,Morgan Freeman,117698894.0,7
Dennis Dugan,Steve Buscemi,162001186.0,7
Steven Spielberg,Tom Hanks,77032279.0,6
Thor Freudenthal,Don Cheadle,73023275.0,6
Martin Campbell,Nicholas Lea,68473360.0,6
Mike Nichols,Philip Seymour Hoffman,66636385.0,6
Bibo Bergeron,Robert De Niro,160762022.0,7
Bill Condon,Loretta Devine,103338338.0,7
F. Gary Gray,Dwayne Johnson,55808744.0,6
Steven Spielberg,Ayelet Zurer,47379090.0,5
Antoine Fuqua,Bruce Willis,43426961.0,5
Robert Luketic,Tom Selleck,47000485.0,5
Guy Ritchie,Henry Cavill,45434443.0,5
James L. Brooks,Adam Sandler,42044321.0,5
Gil Kenan,Steve Buscemi,73661010.0,6
Barry Levinson,Bruce Willis,41523271.0,5
Jerry Zucker,Julia Ormond,37600435.0,5
Andy Tennant,Bai Ling,39251128.0,5
Tarsem Singh,Henry Cavill,83503161.0,6
Florent-Emilio Siri,Jimmy Bennett,34636443.0,5
Don Bluth,Matt Damon,22751979.0,5
Ron Shelton,Harrison Ford,30013346.0,5
Paul W.S. Anderson,Connie Nielsen,14567883.0,5
David Pastor,Christopher Meloni,90820.0,1
Henry Selick,Brendan Fraser,5409517.0,4
John Moore,Dennis Quaid,21009180.0,5
M. Night Shyamalan,Robin Wright,94999143.0,6
Kyle Balda,Steve Carell,336029560.0,8
Zack Snyder,Jon Hamm,36381716.0,5
Brian De Palma,Nicolas Cage,55585389.0,6
Barry Levinson,Peter Coyote,36976367.0,5
Clay Kaytis,Peter Dinklage,107225164.0,7
Andy Tennant,Matthew McConaughey,70224196.0,6
